house_id,date,quarter,house_type,sales_type,year_build,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zipcode,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%,purchaseprice
504628,4997,100,Townhouse,regular_sale,1978,-3,5,116,19827.586,20345,2630,Taastrup,1,Zealand,0,0.76,1.35,2300000
965366,8945,63,Villa,regular_sale,2010,0,5,158,2816.4558,11158,7500,Holstebro,7,Jutland,1.2,1.3,5.5,445000
1194661,357,41,Apartment,regular_sale,1939,0,2,41,10853.658,13943,5000,Odense C,3,Fyn & islands,2,1.15,5.26,445000
798577,3520,81,Villa,regular_sale,1969,-7,5,135,15740.741,39266,4040,Jyllinge,6,Zealand,0,0.56,3.06,2125000
574641,6382,96,Farm,regular_sale,1930,0,3,112,17410.715,18537,9310,Vodskov,5,Jutland,0,0.81,2.12,1950000
724014,8392,87,Apartment,regular_sale,1915,-3,2,55,30000,14080,2200,København N,1,Zealand,0,0.45,2.78,1650000
431618,3358,103,Villa,regular_sale,1964,-7,4,118,7415.2544,20617,7800,Skive,7,Jutland,0,0.42,1.1,875000
1126211,9340,47,Villa,regular_sale,1974,0,5,138,8297.102,30289,7200,Grindsted,7,Jutland,2,1.82,4.36,1145000
14850,6525,116,Apartment,regular_sale,1938,3,2,58,38793.1,17461,2300,København S,1,Zealand,3.6,1.13,4.34,2250000
1273181,10045,31,Villa,regular_sale,1962,0,7,180,2000,25572,7760,Hurup Thy,7,Jutland,4.5,2.34,7.05,360000
1223327,5677,38,Villa,regular_sale,1967,0,6,164,6707.317,18247,6715,Esbjerg N,7,Jutland,2.5,2.08,5.11,1100000
1175920,7235,42,Villa,regular_sale,1958,0,7,180,17500,16110,2820,Gentofte,1,Zealand,2,1.15,5.26,3150000
1214995,7234,38,Summerhouse,regular_sale,1983,0,2,65,10692.308,10562,4640,Faxe,6,Zealand,2.5,2.08,5.11,695000
749157,4806,85,Apartment,regular_sale,1903,0,4,86,33720.93,3896,2200,København N,1,Zealand,0,0.45,2.78,2900000
1242826,8880,35,Apartment,regular_sale,1979,0,2,75,14666.667,12767,2400,København NV,1,Zealand,3.25,2.42,6.69,1100000
1268506,1717,32,Villa,regular_sale,1951,0,6,162,4320.988,3496,6200,Aabenraa,7,Jutland,3.75,2.34,7.05,700000
1006876,6623,58,Townhouse,regular_sale,1989,0,3,86,9883.721,4964,6100,Haderslev,7,Jutland,4,3.42,6.52,850000
1051305,5597,54,Villa,regular_sale,1980,0,5,156,6730.769,16856,4880,Nysted,6,Zealand,3.75,1.69,5.7,1050000
812628,1700,80,Villa,regular_sale,1964,-2,6,149,11661.074,1949,7400,Herning,7,Jutland,0,0.79,3.48,1737500
1467575,3752,1,Villa,regular_sale,1965,0,3,98,5051.0205,64067,9240,Nibe,5,Jutland,6.25,1.99,8.39,495000
448339,2057,102,Apartment,regular_sale,1971,0,1,33,9030.303,49669,4760,Vordingborg,6,Zealand,0,0.76,1.35,298000
1081331,8969,51,Villa,regular_sale,1931,0,7,188,7420.213,41335,5700,Svendborg,3,Fyn & islands,2.75,1.92,5.14,1395000
780367,8304,83,Summerhouse,regular_sale,1999,0,6,128,5468.75,42770,6830,Nørre Nebel,7,Jutland,0,0.56,3.06,700000
832086,5351,78,Farm,regular_sale,1907,0,8,246,1183.1544,28915,5871,Frørup,3,Fyn & islands,0,0.79,3.48,291056
714258,9911,87,Villa,family_sale,1963,0,6,151,3062.9138,49061,5953,Tranekær,3,Fyn & islands,0,0.45,2.78,462500
